id;card_id;bank_account_id;amount;paid_at;created_at
33a17710-3ed6-4a34-8baa-6bd360cafe96;bb6d1526-3100-489c-bda3-5322cf35ade2;f191fcfd-8e8e-4424-99c6-26a4ac01c944;50;2026-04-10 18:02:09.149677+00;2026-04-10 18:02:09.149677+00
985238ea-d2c5-4212-b3b7-c4fd5b4341e5;18b2b5af-f4ef-4390-990d-4521b411c603;5a520588-7df8-45fc-903e-19f884c8d154;1970;2026-04-19 03:07:24.278519+00;2026-04-19 03:07:24.278519+00
4cbd2445-a4cc-44bd-8fcf-f50033b86f8d;88569aef-85a3-4d26-a3f6-0be27508cccb;5a520588-7df8-45fc-903e-19f884c8d154;500;2026-04-19 03:10:24.493842+00;2026-04-19 03:10:24.493842+00
